model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,2,1,0.39588672315264034,,108,36,72,0.6518278121948242,0.9853395061728395,0.9745881302016066,0.9444444444444444,0.9444444444444444,0.918918918918919,0.8947368421052632,0.9444444444444444,0.9444444444444444,68,4,2,34
abmil,2,2,0.18232377819171278,,108,36,72,0.6250172257423401,0.9868827160493827,0.9768210312426768,0.9259259259259259,0.9375,0.8974358974358975,0.8333333333333334,0.9722222222222222,0.9027777777777778,65,7,1,35
abmil,2,3,0.12355629856193986,,108,36,72,0.5618902444839478,0.9907407407407407,0.9839031212517013,0.9629629629629629,0.9583333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,70,2,2,34
abmil,2,4,0.08380490739326235,,108,36,72,0.828100323677063,0.990354938271605,0.9835397384356033,0.9629629629629629,0.9513888888888888,0.9428571428571428,0.9705882352941176,0.9166666666666666,0.9861111111111112,71,1,3,33
abmil,2,5,0.04743511350941711,,108,36,72,0.1940223127603531,0.9891975308641975,0.9816097190000179,0.9537037037037037,0.9583333333333333,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9444444444444444,68,4,1,35
abmil,2,6,0.029890435192477628,,108,36,72,0.04051028564572334,0.9891975308641975,0.9799947447702662,0.9444444444444444,0.9583333333333333,0.9230769230769231,0.8571428571428571,1.0,0.9166666666666666,66,6,0,36
abmil,2,7,0.02323316560192224,,108,36,72,0.06273159384727478,0.9911265432098766,0.9842615377122081,0.9629629629629629,0.9652777777777778,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9583333333333334,69,3,1,35
abmil,2,8,0.007781657204570876,,108,36,72,0.12429355829954147,0.9911265432098766,0.9838395900648601,0.9537037037037037,0.9583333333333333,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9444444444444444,68,4,1,35
abmil,2,9,0.003013911705515289,,108,36,72,0.12113923579454422,0.9907407407407408,0.9832163706916407,0.9444444444444444,0.9513888888888888,0.9210526315789473,0.875,0.9722222222222222,0.9305555555555556,67,5,1,35
abmil,2,10,0.003968941315270913,,108,36,72,0.11590837687253952,0.9903549382716049,0.9831803472513184,0.9537037037037037,0.9583333333333333,0.9333333333333333,0.8974358974358975,0.9722222222222222,0.9444444444444444,68,4,1,35
abmil,2,11,0.08372632770042455,,108,36,72,0.18007002770900726,0.9903549382716049,0.984059496939992,0.9722222222222222,0.9722222222222222,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9722222222222222,70,2,1,35
