model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,3,1,0.3777911959033316,,110,36,74,0.5,0.9906156156156156,0.9829574861939537,0.9454545454545454,0.9523273273273274,0.9210526315789473,0.875,0.9722222222222222,0.9324324324324325,69,5,1,35
abmil,3,2,0.17813104373205882,,110,36,74,0.11923713237047195,0.9928678678678678,0.9864564537166283,0.9363636363636364,0.9527027027027026,0.9113924050632911,0.8372093023255814,1.0,0.9054054054054054,67,7,0,36
abmil,3,3,0.12002103192346672,,110,36,74,0.22238001227378845,0.9928678678678678,0.9857856637767755,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,4,0.09793556506927976,,110,36,74,0.11799953877925873,0.9924924924924925,0.9844826035376344,0.9545454545454546,0.9662162162162162,0.935064935064935,0.8780487804878049,1.0,0.9324324324324325,69,5,0,36
abmil,3,5,0.06290760484091991,,110,36,74,0.06749474257230759,0.9951201201201201,0.9899843455118994,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36
abmil,3,6,0.0420194206524628,,110,36,74,0.10008776932954788,0.9921171171171171,0.9837088260148197,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36
abmil,3,7,0.036055988995124674,,110,36,74,0.03944955766201019,0.9932432432432433,0.9861495003194738,0.9545454545454546,0.9662162162162162,0.935064935064935,0.8780487804878049,1.0,0.9324324324324325,69,5,0,36
abmil,3,8,0.0155171193656581,,110,36,74,0.07139673829078674,0.9947447447447447,0.989396685818577,0.9636363636363636,0.972972972972973,0.9473684210526315,0.9,1.0,0.9459459459459459,70,4,0,36
abmil,3,9,0.03253451998290355,,110,36,74,0.40390443801879883,0.9939939939939939,0.9882894033387455,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
abmil,3,10,0.009386027574384675,,110,36,74,0.40146031975746155,0.9932432432432432,0.9868396361350398,0.9636363636363636,0.9658408408408408,0.9459459459459459,0.9210526315789473,0.9722222222222222,0.9594594594594594,71,3,1,35
