model,fold,epoch,train_loss,class_biases,val_n,val_positive,val_negative,val_threshold,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_f1,val_precision,val_recall_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp
abmil,4,1,0.5460372245384871,,108,42,66,0.48523297905921936,0.9206349206349206,0.8593590972651832,0.8518518518518519,0.8787878787878788,0.84,0.7241379310344828,1.0,0.7575757575757576,50,16,0,42
abmil,4,2,0.40911596563810404,,108,42,66,0.35055407881736755,0.9191919191919191,0.8602893371367146,0.8518518518518519,0.8787878787878788,0.84,0.7241379310344828,1.0,0.7575757575757576,50,16,0,42
abmil,4,3,0.36115098257971917,,108,42,66,0.26572224497795105,0.9195526695526696,0.8661742198892737,0.8611111111111112,0.882034632034632,0.845360824742268,0.7454545454545455,0.9761904761904762,0.7878787878787878,52,14,1,41
abmil,4,4,0.31694089853850427,,108,42,66,0.1916683167219162,0.9274891774891775,0.8780208947733084,0.8425925925925926,0.8712121212121212,0.8316831683168316,0.711864406779661,1.0,0.7424242424242424,49,17,0,42
abmil,4,5,0.28172078628472963,,108,42,66,0.17131845653057098,0.9199134199134199,0.8698099361681981,0.8611111111111112,0.882034632034632,0.845360824742268,0.7454545454545455,0.9761904761904762,0.7878787878787878,52,14,1,41
abmil,4,6,0.23700163208313882,,108,42,66,0.22294554114341736,0.9087301587301587,0.8351548478059039,0.8518518518518519,0.8701298701298701,0.8333333333333334,0.7407407407407407,0.9523809523809523,0.7878787878787878,52,14,2,40
abmil,4,7,0.2183947419516308,,108,42,66,0.7255296111106873,0.9173881673881674,0.8385839101093366,0.8703703703703703,0.8809523809523809,0.8478260869565217,0.78,0.9285714285714286,0.8333333333333334,55,11,3,39
abmil,4,8,0.1608679924721607,,108,42,66,0.5,0.9336219336219337,0.8705928471084987,0.8796296296296297,0.8928571428571428,0.8602150537634409,0.7843137254901961,0.9523809523809523,0.8333333333333334,55,11,2,40
abmil,4,9,0.134906767732387,,108,42,66,0.20952804386615753,0.9318181818181819,0.8267647683475647,0.8888888888888888,0.8961038961038961,0.8666666666666667,0.8125,0.9285714285714286,0.8636363636363636,57,9,3,39
abmil,4,10,0.10650487001667937,,108,42,66,0.03252651169896126,0.9155844155844157,0.8121016971069372,0.8703703703703703,0.8852813852813852,0.851063829787234,0.7692307692307693,0.9523809523809523,0.8181818181818182,54,12,2,40
abmil,4,11,0.1143067477072903,,108,42,66,0.035965677350759506,0.9123376623376624,0.8038800717040353,0.8796296296296297,0.8928571428571428,0.8602150537634409,0.7843137254901961,0.9523809523809523,0.8333333333333334,55,11,2,40
abmil,4,12,0.10723664565900151,,108,42,66,0.8171059489250183,0.9145021645021645,0.7992527760030381,0.8796296296296297,0.8798701298701299,0.8505747126436781,0.8222222222222222,0.8809523809523809,0.8787878787878788,58,8,5,37
abmil,4,13,0.06124854753610958,,108,42,66,0.5,0.9123376623376623,0.7768703296723416,0.8796296296296297,0.8841991341991342,0.8539325842696629,0.8085106382978723,0.9047619047619048,0.8636363636363636,57,9,4,38
