status,rel_path,source_file,output_path,selected_tiles,embedded_tiles,skipped_missing_tiles,total_tiles,tile_size,source_tile_size,subtiles_per_tile,model_input_size,level0_cols,level0_rows,tissue_threshold,target_mpp,source_mpp,elapsed_s,output_dtype,preprocess,prefetch_batches,error
ok,S 210000320/01__.fastpath,S 210000320#S 210000320###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210000320_01_106e6b71bc.npz,679,679,0,16992,256,512,2,224,118,36,0.1,0.527366,0.263683,1.104,float16,gpu,1,
ok,S 210000749/01__.fastpath,S 210000749#S 210000749###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210000749_01_21b76f301b.npz,928,928,0,22040,256,512,2,224,145,38,0.1,0.526474,0.263237,1.028,float16,gpu,1,
ok,S 210000900/01_1.fastpath,S 210000900#S 210000900#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210000900_01_1_4dc801250d.npz,801,801,0,22648,256,512,2,224,149,38,0.1,0.527366,0.263683,0.849,float16,gpu,1,
ok,S 210000900/02_2.fastpath,S 210000900#S 210000900#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210000900_02_2_383b48ee24.npz,704,704,0,22052,256,512,2,224,149,37,0.1,0.527366,0.263683,0.756,float16,gpu,1,
ok,S 210001344/01_1.fastpath,S 210001344#S 210001344#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001344_01_1_8ec80ff79f.npz,1311,1311,0,37408,256,512,2,224,167,56,0.1,0.527366,0.263683,1.407,float16,gpu,1,
ok,S 210001344/02_2.fastpath,S 210001344#S 210001344#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001344_02_2_657eaabd3b.npz,2018,2018,0,27520,256,512,2,224,160,43,0.1,0.527366,0.263683,2.086,float16,gpu,1,
ok,S 210001884/01_1.fastpath,S 210001884#S 210001884#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001884_01_1_5da6249204.npz,1486,1486,0,25696,256,512,2,224,146,44,0.1,0.527366,0.263683,1.575,float16,gpu,1,
ok,S 210001884/02_2.fastpath,S 210001884#S 210001884#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001884_02_2_909546591f.npz,1645,1645,0,24696,256,512,2,224,147,42,0.1,0.527366,0.263683,1.736,float16,gpu,1,
ok,S 210001891/01__.fastpath,S 210001891#S 210001891###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001891_01_238d8ae651.npz,1447,1447,0,23360,256,512,2,224,146,40,0.1,0.526292,0.263146,1.470,float16,gpu,1,
ok,S 210001893/01__.fastpath,S 210001893#S 210001893###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210001893_01_358ea44869.npz,987,987,0,29784,256,512,2,224,146,51,0.1,0.526292,0.263146,1.137,float16,gpu,1,
ok,S 210002488/01__.fastpath,S 210002488#S 210002488###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210002488_01_ca29daa31d.npz,2623,2623,0,32256,256,512,2,224,168,48,0.1,0.527366,0.263683,2.725,float16,gpu,1,
ok,S 210002656/01__.fastpath,S 210002656#S 210002656###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210002656_01_c0de07c00c.npz,1617,1617,0,40200,256,512,2,224,150,67,0.1,0.527366,0.263683,1.744,float16,gpu,1,
ok,S 210002810/01__.fastpath,S 210002810#S 210002810###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210002810_01_dd9654cdc5.npz,1523,1523,0,24192,256,512,2,224,144,42,0.1,0.527366,0.263683,1.653,float16,gpu,1,
ok,S 210002977/01__.fastpath,S 210002977#S 210002977###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210002977_01_067beb456c.npz,1159,1159,0,19520,256,512,2,224,122,40,0.1,0.527366,0.263683,1.245,float16,gpu,1,
ok,S 210003113/01__.fastpath,S 210003113#S 210003113###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210003113_01_76ffff25c6.npz,1494,1494,0,30992,256,512,2,224,149,52,0.1,0.526292,0.263146,1.584,float16,gpu,1,
ok,S 210003745/01__.fastpath,S 210003745#S 210003745###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210003745_01_01f944d49b.npz,1234,1234,0,25112,256,512,2,224,146,43,0.1,0.527366,0.263683,1.297,float16,gpu,1,
ok,S 210004388/01_1.fastpath,S 210004388#S 210004388#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210004388_01_1_56531bb85b.npz,490,490,0,24108,256,512,2,224,147,41,0.1,0.526292,0.263146,0.585,float16,gpu,1,
ok,S 210004388/02_2.fastpath,S 210004388#S 210004388#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210004388_02_2_876d1031f2.npz,1208,1208,0,25344,256,512,2,224,144,44,0.1,0.526292,0.263146,1.287,float16,gpu,1,
ok,S 210004392/01__.fastpath,S 210004392#S 210004392###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210004392_01_daf937f027.npz,1315,1315,0,34428,256,512,2,224,151,57,0.1,0.526292,0.263146,1.430,float16,gpu,1,
ok,S 210004564/01__.fastpath,S 210004564#S 210004564###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210004564_01_48f63957a0.npz,2148,2148,0,35984,256,512,2,224,173,52,0.1,0.527366,0.263683,2.247,float16,gpu,1,
ok,S 210004953/01__.fastpath,S 210004953#S 210004953###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210004953_01_f40dc985fa.npz,2774,2774,0,34800,256,512,2,224,150,58,0.1,0.526474,0.263237,2.840,float16,gpu,1,
ok,S 210005102/01_1.fastpath,S 210005102#S 210005102#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005102_01_1_80ce3ce1b3.npz,1252,1252,0,22400,256,512,2,224,160,35,0.1,0.528186,0.264093,1.266,float16,gpu,1,
ok,S 210005102/02_2.fastpath,S 210005102#S 210005102#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005102_02_2_bf983651a9.npz,1120,1120,0,19328,256,512,2,224,151,32,0.1,0.528186,0.264093,1.203,float16,gpu,1,
ok,S 210005112/01__.fastpath,S 210005112#S 210005112###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005112_01_26701c8ffb.npz,2729,2729,0,34560,256,512,2,224,160,54,0.1,0.528186,0.264093,2.870,float16,gpu,1,
ok,S 210005597/01__.fastpath,S 210005597#S 210005597###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005597_01_3d3f0b37b3.npz,673,673,0,29536,256,512,2,224,142,52,0.1,0.526474,0.263237,7.345,float16,gpu,1,
ok,S 210005600/01__.fastpath,S 210005600#S 210005600###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005600_01_b2b4648fc7.npz,1661,1661,0,36344,256,512,2,224,154,59,0.1,0.526474,0.263237,3.325,float16,gpu,1,
ok,S 210005733/01__.fastpath,S 210005733#S 210005733###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210005733_01_d536fb180e.npz,860,860,0,22400,256,512,2,224,140,40,0.1,0.526474,0.263237,0.972,float16,gpu,1,
ok,S 210006213/01__.fastpath,S 210006213#S 210006213###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210006213_01_865854a2d9.npz,696,696,0,33060,256,512,2,224,145,57,0.1,0.528186,0.264093,0.798,float16,gpu,1,
ok,S 210006307/01__.fastpath,S 210006307#S 210006307###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210006307_01_5ac9a40d68.npz,759,759,0,30720,256,512,2,224,160,48,0.1,0.528186,0.264093,0.870,float16,gpu,1,
ok,S 210006705/01__.fastpath,S 210006705#S 210006705###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210006705_01_5a3f44e9a3.npz,1730,1730,0,38740,256,512,2,224,149,65,0.1,0.528186,0.264093,1.804,float16,gpu,1,
ok,S 210006706/01__.fastpath,S 210006706#S 210006706###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210006706_01_88cd849904.npz,978,978,0,33152,256,512,2,224,148,56,0.1,0.528186,0.264093,1.070,float16,gpu,1,
ok,S 210006723/01__.fastpath,S 210006723#S 210006723###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210006723_01_f28ac1d47e.npz,1523,1523,0,36580,256,512,2,224,155,59,0.1,0.528186,0.264093,1.597,float16,gpu,1,
ok,S 210007019/00_1.fastpath,S 210007019#1###.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210007019_00_1_398ff2afae.npz,905,905,0,21584,256,512,2,224,142,38,0.1,0.527366,0.263683,0.972,float16,gpu,1,
ok,S 210007019/00_2.fastpath,S 210007019#2###.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210007019_00_2_0fd627251c.npz,717,717,0,16128,256,512,2,224,112,36,0.1,0.527366,0.263683,0.809,float16,gpu,1,
